bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
1.16699,1.16693,1.167,1.1665,1.16708,1.16702,1.16709,1.16659,1433
1.16693,1.16726,1.16734,1.16674,1.16702,1.16734,1.16742,1.16683,1692
1.16726,1.16776,1.16776,1.167,1.16734,1.16785,1.16785,1.16709,1908
1.16776,1.16734,1.16794,1.16729,1.16785,1.16743,1.16804,1.16739,1792
1.16734,1.16754,1.16766,1.16722,1.16743,1.16761,1.16775,1.1673,1609
1.16754,1.16797,1.16799,1.16713,1.16761,1.16805,1.16808,1.16721,1734
1.16797,1.16745,1.16797,1.16744,1.16805,1.16753,1.16803,1.16751,1638
1.16745,1.1674,1.16805,1.1673,1.16753,1.16748,1.16813,1.16739,1429
1.1674,1.16848,1.16857,1.16738,1.16748,1.16854,1.16866,1.16745,2083
1.16848,1.16863,1.1694,1.16847,1.16854,1.16871,1.1695,1.16854,3157
1.16863,1.16869,1.16888,1.16834,1.16871,1.16878,1.16897,1.16843,1385
1.16869,1.16836,1.16869,1.16802,1.16878,1.16845,1.16877,1.1681,1954
1.16836,1.16874,1.16895,1.16836,1.16845,1.16882,1.16903,1.16845,1420
1.16874,1.16899,1.1695,1.16871,1.16882,1.16908,1.16958,1.1688,1514
1.16899,1.16929,1.16945,1.16885,1.16908,1.16938,1.16954,1.16893,1138
1.16929,1.1701,1.17025,1.16919,1.16938,1.17018,1.17035,1.16927,2084
1.1701,1.16961,1.17009,1.16956,1.17018,1.16969,1.17018,1.16963,1096
1.16961,1.16928,1.1698,1.16924,1.16969,1.16939,1.16989,1.16931,1121
1.16928,1.16914,1.16954,1.16911,1.16939,1.16924,1.16962,1.1692,1161
1.16914,1.16852,1.16926,1.16815,1.16924,1.16863,1.16935,1.16825,1641
1.16852,1.16832,1.16886,1.1683,1.16863,1.16842,1.16894,1.1684,1741
1.16832,1.16926,1.16934,1.1683,1.16842,1.16935,1.16943,1.16839,1690
1.16926,1.16935,1.16944,1.16881,1.16935,1.16944,1.16953,1.16889,1377
1.16935,1.16903,1.16974,1.16891,1.16944,1.16914,1.16984,1.169,1226
1.16903,1.16849,1.16904,1.16838,1.16914,1.16857,1.16914,1.16847,1595
1.16849,1.16865,1.16918,1.16848,1.16857,1.16875,1.16926,1.16856,950
1.16865,1.16825,1.16865,1.16808,1.16875,1.16833,1.16874,1.16817,1200
1.16825,1.16876,1.16876,1.16811,1.16833,1.16884,1.16884,1.1682,1244
1.16876,1.16871,1.16885,1.16819,1.16884,1.1688,1.16894,1.16827,1309
1.16871,1.16789,1.16873,1.16782,1.1688,1.16797,1.16882,1.1679,1272
1.16789,1.16824,1.16845,1.1677,1.16797,1.16833,1.16853,1.16779,1554
1.16824,1.16799,1.16844,1.16783,1.16833,1.16807,1.16852,1.16792,1311
1.16799,1.16814,1.16824,1.16784,1.16807,1.16823,1.16833,1.16793,1086
1.16814,1.16834,1.1686,1.16803,1.16823,1.16841,1.16868,1.16811,1094
1.16834,1.16805,1.16853,1.16802,1.16841,1.16813,1.1686,1.1681,1125
1.16805,1.16822,1.16825,1.16771,1.16813,1.16831,1.16833,1.16779,919
1.16822,1.16856,1.16896,1.16815,1.16831,1.16865,1.16904,1.16822,1146
1.16856,1.16851,1.16883,1.16842,1.16865,1.16859,1.16891,1.16849,1072
1.16851,1.16883,1.16892,1.16851,1.16859,1.16891,1.16901,1.16859,1367
1.16883,1.16843,1.1691,1.16812,1.16891,1.16851,1.16919,1.1682,1272
1.16843,1.16856,1.16893,1.16831,1.16851,1.16865,1.16902,1.1684,924
1.16856,1.16865,1.16869,1.16825,1.16865,1.16874,1.16877,1.16833,1050
1.16865,1.16878,1.16878,1.16835,1.16874,1.16886,1.16886,1.16844,1230
1.16878,1.16894,1.16896,1.16845,1.16886,1.16902,1.16905,1.16852,1217
1.16894,1.17046,1.1708,1.16892,1.16902,1.17056,1.17088,1.16901,2277
1.17046,1.1712,1.17175,1.17035,1.17056,1.17129,1.17186,1.17047,3953
1.1712,1.17098,1.17151,1.17057,1.17129,1.17108,1.17161,1.17066,2085
1.17098,1.17064,1.17112,1.17047,1.17108,1.17074,1.17121,1.17056,1842
1.17064,1.17067,1.17077,1.17037,1.17074,1.17077,1.17086,1.17045,1477
1.17067,1.17046,1.17079,1.17031,1.17077,1.17055,1.17088,1.17039,1586
1.17046,1.17032,1.17051,1.17016,1.17055,1.17041,1.1706,1.17025,1214
1.17032,1.1707,1.17078,1.17023,1.17041,1.17078,1.17087,1.17031,1138
1.1707,1.171,1.17129,1.17064,1.17078,1.17108,1.17138,1.17073,1098
1.171,1.17097,1.17101,1.1707,1.17108,1.17105,1.17109,1.1708,739
1.17097,1.17069,1.17106,1.17065,1.17105,1.17078,1.17115,1.17074,848
1.17069,1.17112,1.17116,1.17057,1.17078,1.17119,1.17122,1.17066,974
